Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,year
Philadelphia,28,26.4,,34,374,3060.0,34.0,40,33,73,39,1,2,,,1.18,0.97,2.15,1.15,2.12,2015
Portland Timbers,23,27.1,,34,374,3060.0,34.0,41,33,74,37,4,5,,,1.21,0.97,2.18,1.09,2.06,2015
Real Salt Lake,27,27.5,,34,374,3060.0,34.0,37,26,63,33,4,6,,,1.09,0.76,1.85,0.97,1.74,2015
San Jose,26,27.8,,34,374,3060.0,34.0,41,26,67,35,6,6,,,1.21,0.76,1.97,1.03,1.79,2015
Seattle,29,29.0,,34,374,3060.0,34.0,44,33,77,42,2,3,,,1.29,0.97,2.26,1.24,2.21,2015
Sporting KC,28,26.6,,34,374,3060.0,34.0,47,43,90,42,5,6,,,1.38,1.26,2.65,1.24,2.5,2015
Toronto FC,27,26.9,,34,375,3060.0,34.0,57,47,104,51,6,7,0.0,0.0,1.68,1.38,3.06,1.5,2.88,2015
Vancouver,26,26.0,,34,374,3060.0,34.0,45,30,75,40,5,5,,,1.32,0.88,2.21,1.18,2.06,2015
Chicago Fire,26,26.1,43.6,34,374,3060.0,34.0,40,32,72,38,2,2,,,1.18,0.94,2.12,1.12,2.06,2016
Colorado Rapids,24,27.5,49.4,34,376,3060.0,34.0,39,34,73,37,2,3,,,1.15,1.0,2.15,1.09,2.09,2016
Columbus Crew,28,27.5,55.2,34,374,3060.0,34.0,48,39,87,42,6,7,,,1.41,1.15,2.56,1.24,2.38,2016
D.C. United,27,27.6,46.5,34,374,3060.0,34.0,53,39,92,50,3,4,,,1.56,1.15,2.71,1.47,2.62,2016
Dynamo,26,28.2,46.2,34,374,3060.0,34.0,38,27,65,37,1,1,,,1.12,0.79,1.91,1.09,1.88,2016
FC Dallas,27,25.5,48.7,34,374,3060.0,34.0,49,35,84,44,5,5,,,1.44,1.03,2.47,1.29,2.32,2016
LA Galaxy,28,28.8,51.1,34,374,3060.0,34.0,52,42,94,48,4,6,,,1.53,1.24,2.76,1.41,2.65,2016
Montreal Impact,27,28.6,46.4,34,374,3060.0,34.0,49,39,88,44,5,6,,,1.44,1.15,2.59,1.29,2.44,2016
New England,24,27.0,49.3,34,374,3060.0,34.0,41,32,73,38,3,4,,,1.21,0.94,2.15,1.12,2.06,2016
NY Red Bulls,27,27.8,54.7,34,374,3060.0,34.0,59,52,111,58,1,2,,,1.74,1.53,3.26,1.71,3.24,2016
NYCFC,25,29.1,53.9,34,374,3060.0,34.0,62,48,110,56,6,7,,,1.82,1.41,3.24,1.65,3.06,2016
Orlando City,26,26.4,51.6,34,374,3060.0,34.0,53,41,94,48,5,7,0.0,0.0,1.56,1.21,2.76,1.41,2.62,2016
Philadelphia,25,26.9,49.0,34,374,3060.0,34.0,50,32,82,44,6,8,,,1.47,0.94,2.41,1.29,2.24,2016
Portland Timbers,26,27.5,47.7,34,374,3060.0,34.0,48,26,74,41,7,9,,,1.41,0.76,2.18,1.21,1.97,2016
Real Salt Lake,24,29.0,53.4,34,374,3060.0,34.0,42,30,72,36,6,9,,,1.24,0.88,2.12,1.06,1.94,2016
San Jose,26,28.4,49.5,34,374,3060.0,34.0,32,24,56,29,3,5,,,0.94,0.71,1.65,0.85,1.56,2016
